"","CAP1","CAP2","CAP3","CAP4","MDS1","MDS2"
"Wooliver_ITS_2E6_Beever240927_S305",-0.342317575603525,-0.282332636219552,-0.134334389965684,-0.283743195392,0.224488859165222,-0.960259151096243
"Wooliver_ITS_2E7_Beever240927_S313",-0.374431754842139,-0.197568363425335,-0.0525010668939396,-0.0773818550488415,0.175001491275884,0.707999715937387
"Wooliver_ITS_2E8_Beever240927_S321",1.21587507890446,-0.110669546247287,1.90365910697365,-0.329035823915787,-0.291373693973328,0.411645619967773
"Wooliver_ITS_2F4_Beever240927_S290",-0.36507931418992,-0.354343286612251,0.129614108513526,0.246376058836802,-0.282405401841597,0.235877498737492
"Wooliver_ITS_2F5_Beever240927_S298",-0.378669057310538,-0.521119983160362,0.0977675026732713,-0.159649275306322,0.793658988054492,-0.00175327219722676
"Wooliver_ITS_2F6_Beever240927_S306",1.25872762759601,0.147264476251593,-1.53559395327758,-3.55303568857324,0.0547838232653599,0.622165286309947
"Wooliver_ITS_2F7_Beever240927_S314",-0.171458323374575,1.34892854514551,-0.39510872017333,0.12498774673173,-0.0632962224424393,-0.016425545612645
"Wooliver_ITS_2F8_Beever240927_S322",-0.405652203695357,-0.644681482266832,-0.0139502376909888,-0.37640045052949,0.0134559018342008,0.631971116699707
"Wooliver_ITS_2G4_Beever240927_S291",1.24638182047679,-0.387737281683348,1.89938484247783,1.90500596956185,0.00913401169622409,0.957025290377556
"Wooliver_ITS_2G5_Beever240927_S299",-0.144388189124655,1.45408964233815,0.299578553300877,0.591893304453733,-0.269842538970646,-1.09547454277636
"Wooliver_ITS_2G6_Beever240927_S307",-0.390524341046456,-0.531015752876007,-0.051259104107989,-0.546162851998154,0.188952012756226,-0.385633963420349
"Wooliver_ITS_2G7_Beever240927_S315",-0.347403137409371,-0.484900784623593,0.0300306573471461,-0.189514737764248,0.00147929167208016,-0.576982415894873
"Wooliver_ITS_2G8_Beever240927_S323",-0.377577414072009,-0.421511285259245,0.360356396714488,-0.317744555988115,0.206996667776816,0.571158753221574
"Wooliver_ITS_2H4_Beever240927_S292",-0.390021018084468,-0.600352616074588,0.051709873185618,-0.318079199718861,0.0911814179399046,0.516974563407838
"Wooliver_ITS_2H5_Beever240927_S300",-0.370390757479842,-0.45595748672875,-0.148707305470869,0.149346283866584,0.0271116263182197,0.434812582758974
"Wooliver_ITS_2H6_Beever240927_S308",-0.385767453079566,-0.276349154940325,0.0486413196941229,-0.0483716265412737,0.827518385708831,-0.53935457515718
"Wooliver_ITS_2H7_Beever240927_S316",1.23437795897409,-0.141896764598503,1.44076411831221,-5.78167020095605,0.0753449013442036,0.201202713052282
"Wooliver_ITS_2H8_Beever240927_S324",-0.196632768417271,0.973197240706388,0.0489555340100964,-0.557851408557352,0.393533605238575,0.617820643072628
