"","Var1","Freq","percentage"
"77","g__Bondarzewia",15,0.04
"78","g__Botryoderma",3,0.01
"79","g__Botrytis",4,0.01
"80","g__Boubovia",1,0
"81","g__Boudiera",2,0.01
"82","g__Bovista",5,0.01
"83","g__Brevicalcar",3,0.01
"84","g__Brocchiosphaera",58,0.16
"85","g__Brunneomyces",9,0.03
"86","g__Buchwaldoboletus",1,0
"87","g__Bullera",2,0.01
"88","g__Cadophora",2,0.01
"89","g__Calcarisporiella",3,0.01
"90","g__Callistosporium",1,0
"91","g__Calloria",2,0.01
"92","g__Calvatia",54,0.15
"93","g__Calycina",19,0.05
"94","g__Camarops",2,0.01
"95","g__Candelabrochaete",1,0
"96","g__Candida",18,0.05
"97","g__Canomyces",2,0.01
"98","g__Capronia",5,0.01
"99","g__Castanedomyces",4,0.01
"100","g__Catinella",1,0
"101","g__Ceratobasidium",45,0.13
"102","g__Ceratocystis",2,0.01
"103","g__Ceratostomella",3,0.01
"104","g__Cercophora",17,0.05
"105","g__Cercospora",17,0.05
"106","g__Chaetocapnodium",2,0.01
"107","g__Chaetomella",1,0
"108","g__Chaetomidium",21,0.06
"109","g__Chaetomium",119,0.33
"110","g__Chaetosphaeria",138,0.39
"111","g__Chalara",1,0
"112","g__Cheilymenia",1,0
"113","g__Chlamydocillium",3,0.01
"114","g__Chloridium",151,0.42
"115","g__Choanephora",1,0
"116","g__Chordomyces",3,0.01
"117","g__Chrysocorona",1,0
"118","g__Chrysosporium",4,0.01
"119","g__Chrysozyma",1,0
"120","g__Chytriomyces",2,0.01
"121","g__Cinereomyces",1,0
"122","g__Cirrenalia",43,0.12
"123","g__Cistella",13,0.04
"124","g__Cladophialophora",191,0.54
"125","g__Cladorrhinum",54,0.15
"126","g__Cladosporium",36,0.1
"127","g__Claroideoglomus",16,0.04
"128","g__Claviceps",2,0.01
"129","g__Clitopilus",6,0.02
"130","g__Clonostachys",104,0.29
"131","g__Clypeosphaeria",1,0
"132","g__Coemansia",117,0.33
"133","g__Coleophoma",24,0.07
"134","g__Collarina",114,0.32
"135","g__Colletotrichum",22,0.06
"136","g__Coniochaeta",215,0.6
"137","g__Conioscypha",271,0.76
"138","g__Coniothyrium",36,0.1
"139","g__Conlarium",24,0.07
"140","g__Conocybe",28,0.08
"141","g__Coprinellus",13,0.04
"142","g__Coprinopsis",107,0.3
"143","g__Coprinus",34,0.1
"144","g__Coralloidiomyces",7,0.02
"145","g__Cordana",69,0.19
"146","g__Cordyceps",12,0.03
"147","g__Coremiopassalora",3,0.01
"148","g__Corticium",1,0
"149","g__Cortinarius",8,0.02
"150","g__Corylicola",1,0
"151","g__Corynascella",11,0.03
"152","g__Cosmospora",6,0.02
"153","g__Crepidotus",2,0.01
"154","g__Cryptococcus",2,0.01
"155","g__Cunninghamella",2,0.01
"156","g__Currahomyces",1,0
"157","g__Curvularia",329,0.92
"158","g__Cyanosporus",1,0
"159","g__Cyberlindnera",1,0
"160","g__Cylindrocladiella",4,0.01
"161","g__Cyniclomyces",1,0
"162","g__Cyphellophora",170,0.48
"163","g__Cystoagaricus",51,0.14
"164","g__Cystobasidium",4,0.01
"165","g__Cystofilobasidium",89,0.25
"166","g__Cytospora",1,0
"167","g__Dactylella",17,0.05
"168","g__Dactylonectria",30,0.08
