,file.names,submitted.by,library,well,utia,id,sample.id,plate,row,column,Sample.number,Sample.name,Moisture.treatment,Residue.type,Lab.rep,Glucose.addition.treatment,Harvest.day
290,Wooliver_ITS_2D3_Beever240927_S280,Wooliver,ITS,2D3,Beever240927,NA,S280,2,D,3,141,ITS_Drought_Clover_R4_G-50,Drought,Clover,R4,G-50,T1
299,Wooliver_ITS_2E3_Beever240927_S281,Wooliver,ITS,2.00E+03,Beever240927,NA,S281,2,E,3,145,ITS_Drought_Five-species mix_R4_G-50,Drought,Five-species mix,R4,G-50,T1
307,Wooliver_ITS_2F3_Beever240927_S282,Wooliver,ITS,2F3,Beever240927,NA,S282,2,F,3,149,ITS_Drought_No residue_R4_G-50,Drought,No residue,R4,G-50,T1
315,Wooliver_ITS_2G3_Beever240927_S283,Wooliver,ITS,2G3,Beever240927,NA,S283,2,G,3,153,ITS_Drought_Wheat_R4_G-50,Drought,Wheat,R4,G-50,T1
323,Wooliver_ITS_2H3_Beever240927_S284,Wooliver,ITS,2H3,Beever240927,NA,S284,2,H,3,157,ITS_Drought_Wheat-clover mix_R4_G-50,Drought,Wheat-clover mix,R4,G-50,T1
264,Wooliver_ITS_2A4_Beever240927_S285,Wooliver,ITS,2A4,Beever240927,NA,S285,2,A,4,2,ITS_Ambient_Clover_R1_G-50,Ambient,Clover,R1,G-50,T90
273,Wooliver_ITS_2B4_Beever240927_S286,Wooliver,ITS,2B4,Beever240927,NA,S286,2,B,4,6,ITS_Ambient_Five-species mix_R1_G-50,Ambient,Five-species mix,R1,G-50,T90
282,Wooliver_ITS_2C4_Beever240927_S287,Wooliver,ITS,2C4,Beever240927,NA,S287,2,C,4,10,ITS_Ambient_No residue_R1_G-50,Ambient,No residue,R1,G-50,T90
291,Wooliver_ITS_2D4_Beever240927_S288,Wooliver,ITS,2D4,Beever240927,NA,S288,2,D,4,14,ITS_Ambient_Wheat_R1_G-50,Ambient,Wheat,R1,G-50,T90
300,Wooliver_ITS_2E4_Beever240927_S289,Wooliver,ITS,2.00E+04,Beever240927,NA,S289,2,E,4,18,ITS_Ambient_Wheat-clover mix_R1_G-50,Ambient,Wheat-clover mix,R1,G-50,T90
308,Wooliver_ITS_2F4_Beever240927_S290,Wooliver,ITS,2F4,Beever240927,NA,S290,2,F,4,22,ITS_Drought_Clover_R1_G-50,Drought,Clover,R1,G-50,T90
316,Wooliver_ITS_2G4_Beever240927_S291,Wooliver,ITS,2G4,Beever240927,NA,S291,2,G,4,26,ITS_Drought_Five-species mix_R1_G-50,Drought,Five-species mix,R1,G-50,T90
324,Wooliver_ITS_2H4_Beever240927_S292,Wooliver,ITS,2H4,Beever240927,NA,S292,2,H,4,30,ITS_Drought_No residue_R1_G-50,Drought,No residue,R1,G-50,T90
265,Wooliver_ITS_2A5_Beever240927_S293,Wooliver,ITS,2A5,Beever240927,NA,S293,2,A,5,34,ITS_Drought_Wheat_R1_G-50,Drought,Wheat,R1,G-50,T90
274,Wooliver_ITS_2B5_Beever240927_S294,Wooliver,ITS,2B5,Beever240927,NA,S294,2,B,5,38,ITS_Drought_Wheat-clover mix_R1_G-50,Drought,Wheat-clover mix,R1,G-50,T90
283,Wooliver_ITS_2C5_Beever240927_S295,Wooliver,ITS,2C5,Beever240927,NA,S295,2,C,5,42,ITS_Ambient_Clover_R2_G-50,Ambient,Clover,R2,G-50,T90
292,Wooliver_ITS_2D5_Beever240927_S296,Wooliver,ITS,2D5,Beever240927,NA,S296,2,D,5,46,ITS_Ambient_Five-species mix_R2_G-50,Ambient,Five-species mix,R2,G-50,T90
301,Wooliver_ITS_2E5_Beever240927_S297,Wooliver,ITS,2.00E+05,Beever240927,NA,S297,2,E,5,50,ITS_Ambient_No residue_R2_G-50,Ambient,No residue,R2,G-50,T90
309,Wooliver_ITS_2F5_Beever240927_S298,Wooliver,ITS,2F5,Beever240927,NA,S298,2,F,5,54,ITS_Ambient_Wheat_R2_G-50,Ambient,Wheat,R2,G-50,T90
317,Wooliver_ITS_2G5_Beever240927_S299,Wooliver,ITS,2G5,Beever240927,NA,S299,2,G,5,58,ITS_Ambient_Wheat-clover mix_R2_G-50,Ambient,Wheat-clover mix,R2,G-50,T90
325,Wooliver_ITS_2H5_Beever240927_S300,Wooliver,ITS,2H5,Beever240927,NA,S300,2,H,5,62,ITS_Drought_Clover_R2_G-50,Drought,Clover,R2,G-50,T90
266,Wooliver_ITS_2A6_Beever240927_S301,Wooliver,ITS,2A6,Beever240927,NA,S301,2,A,6,66,ITS_Drought_Five-species mix_R2_G-50,Drought,Five-species mix,R2,G-50,T90
275,Wooliver_ITS_2B6_Beever240927_S302,Wooliver,ITS,2B6,Beever240927,NA,S302,2,B,6,70,ITS_Drought_No residue_R2_G-50,Drought,No residue,R2,G-50,T90
284,Wooliver_ITS_2C6_Beever240927_S303,Wooliver,ITS,2C6,Beever240927,NA,S303,2,C,6,74,ITS_Drought_Wheat_R2_G-50,Drought,Wheat,R2,G-50,T90
293,Wooliver_ITS_2D6_Beever240927_S304,Wooliver,ITS,2D6,Beever240927,NA,S304,2,D,6,78,ITS_Drought_Wheat-clover mix_R2_G-50,Drought,Wheat-clover mix,R2,G-50,T90
302,Wooliver_ITS_2E6_Beever240927_S305,Wooliver,ITS,2.00E+06,Beever240927,NA,S305,2,E,6,82,ITS_Ambient_Clover_R3_G-50,Ambient,Clover,R3,G-50,T90
310,Wooliver_ITS_2F6_Beever240927_S306,Wooliver,ITS,2F6,Beever240927,NA,S306,2,F,6,86,ITS_Ambient_Five-species mix_R3_G-50,Ambient,Five-species mix,R3,G-50,T90
318,Wooliver_ITS_2G6_Beever240927_S307,Wooliver,ITS,2G6,Beever240927,NA,S307,2,G,6,90,ITS_Ambient_No residue_R3_G-50,Ambient,No residue,R3,G-50,T90
326,Wooliver_ITS_2H6_Beever240927_S308,Wooliver,ITS,2H6,Beever240927,NA,S308,2,H,6,94,ITS_Ambient_Wheat_R3_G-50,Ambient,Wheat,R3,G-50,T90
267,Wooliver_ITS_2A7_Beever240927_S309,Wooliver,ITS,2A7,Beever240927,NA,S309,2,A,7,98,ITS_Ambient_Wheat-clover mix_R3_G-50,Ambient,Wheat-clover mix,R3,G-50,T90
276,Wooliver_ITS_2B7_Beever240927_S310,Wooliver,ITS,2B7,Beever240927,NA,S310,2,B,7,102,ITS_Drought_Clover_R3_G-50,Drought,Clover,R3,G-50,T90
285,Wooliver_ITS_2C7_Beever240927_S311,Wooliver,ITS,2C7,Beever240927,NA,S311,2,C,7,106,ITS_Drought_Five-species mix_R3_G-50,Drought,Five-species mix,R3,G-50,T90
294,Wooliver_ITS_2D7_Beever240927_S312,Wooliver,ITS,2D7,Beever240927,NA,S312,2,D,7,110,ITS_Drought_No residue_R3_G-50,Drought,No residue,R3,G-50,T90
303,Wooliver_ITS_2E7_Beever240927_S313,Wooliver,ITS,2.00E+07,Beever240927,NA,S313,2,E,7,114,ITS_Drought_Wheat_R3_G-50,Drought,Wheat,R3,G-50,T90
311,Wooliver_ITS_2F7_Beever240927_S314,Wooliver,ITS,2F7,Beever240927,NA,S314,2,F,7,118,ITS_Drought_Wheat-clover mix_R3_G-50,Drought,Wheat-clover mix,R3,G-50,T90
319,Wooliver_ITS_2G7_Beever240927_S315,Wooliver,ITS,2G7,Beever240927,NA,S315,2,G,7,122,ITS_Ambient_Clover_R4_G-50,Ambient,Clover,R4,G-50,T90
327,Wooliver_ITS_2H7_Beever240927_S316,Wooliver,ITS,2H7,Beever240927,NA,S316,2,H,7,126,ITS_Ambient_Five-species mix_R4_G-50,Ambient,Five-species mix,R4,G-50,T90
268,Wooliver_ITS_2A8_Beever240927_S317,Wooliver,ITS,2A8,Beever240927,NA,S317,2,A,8,130,ITS_Ambient_No residue_R4_G-50,Ambient,No residue,R4,G-50,T90
277,Wooliver_ITS_2B8_Beever240927_S318,Wooliver,ITS,2B8,Beever240927,NA,S318,2,B,8,134,ITS_Ambient_Wheat_R4_G-50,Ambient,Wheat,R4,G-50,T90
286,Wooliver_ITS_2C8_Beever240927_S319,Wooliver,ITS,2C8,Beever240927,NA,S319,2,C,8,138,ITS_Ambient_Wheat-clover mix_R4_G-50,Ambient,Wheat-clover mix,R4,G-50,T90
295,Wooliver_ITS_2D8_Beever240927_S320,Wooliver,ITS,2D8,Beever240927,NA,S320,2,D,8,142,ITS_Drought_Clover_R4_G-50,Drought,Clover,R4,G-50,T90
304,Wooliver_ITS_2E8_Beever240927_S321,Wooliver,ITS,2.00E+08,Beever240927,NA,S321,2,E,8,146,ITS_Drought_Five-species mix_R4_G-50,Drought,Five-species mix,R4,G-50,T90
312,Wooliver_ITS_2F8_Beever240927_S322,Wooliver,ITS,2F8,Beever240927,NA,S322,2,F,8,150,ITS_Drought_No residue_R4_G-50,Drought,No residue,R4,G-50,T90
320,Wooliver_ITS_2G8_Beever240927_S323,Wooliver,ITS,2G8,Beever240927,NA,S323,2,G,8,154,ITS_Drought_Wheat_R4_G-50,Drought,Wheat,R4,G-50,T90
328,Wooliver_ITS_2H8_Beever240927_S324,Wooliver,ITS,2H8,Beever240927,NA,S324,2,H,8,158,ITS_Drought_Wheat-clover mix_R4_G-50,Drought,Wheat-clover mix,R4,G-50,T90
269,Wooliver_ITS_2A9_Beever240927_S325,Wooliver,ITS,2A9,Beever240927,NA,S325,2,A,9,baseline1,ITS_baseline1,NA,NA,NA,NA,NA
278,Wooliver_ITS_2B9_Beever240927_S326,Wooliver,ITS,2B9,Beever240927,NA,S326,2,B,9,baseline2,ITS_baseline2,NA,NA,NA,NA,NA
287,Wooliver_ITS_2C9_Beever240927_S327,Wooliver,ITS,2C9,Beever240927,NA,S327,2,C,9,baseline3,ITS_baseline3,NA,NA,NA,NA,NA
296,Wooliver_ITS_2D9_Beever240927_S328,Wooliver,ITS,2D9,Beever240927,NA,S328,2,D,9,baseline4,ITS_baseline4,NA,NA,NA,NA,NA
