"","Var1","Freq","percentage"
"842","Microvirgula",4,0
"843","Millionella",1,0
"844","Millisia",13,0
"845","Minicystis",1163,0.14
"846","Mizugakiibacter",83,0.01
"847","Mobilisporobacter",48,0.01
"848","Mobilitalea",102,0.01
"849","Modestobacter",132,0.02
"850","Mongoliimonas",1,0
"851","Monoglobus",29,0
"852","Motilibacter",74,0.01
"853","Mucilaginibacter",594,0.07
"854","Mumia",69,0.01
"855","Muricomes",1,0
"856","Murimonas",1,0
"857","Mycetocola",2,0
"858","Mycetohabitans",75,0.01
"859","Mycoavidus",112,0.01
"860","Mycobacterium",1725,0.21
"861","Mycoplana",113,0.01
"862","Myxococcus",288,0.04
"863","Nafulsella",1,0
"864","Nakamurella",937,0.12
"865","Nannocystis",1027,0.13
"866","Natronobacillus",1,0
"867","Natronocella",2,0
"868","Naumannella",4,0
"869","Negativibacillus",6,0
"870","Neglecta",23,0
"871","Nemorincola",437,0.05
"872","Neobacillus",3599,0.45
"873","Neochlamydia",1212,0.15
"874","Neomegalonema",3,0
"875","Neopararhizobium",2,0
"876","Neorhizobium",30,0
"877","Nevskia",93,0.01
"878","Niabella",90,0.01
"879","Niastella",1137,0.14
"880","Nibrella",14,0
"881","Nibribacter",6,0
"882","Nisaea",2,0
"883","Nitratireductor",5,0
"884","Nitriliruptor",68,0.01
"885","Nitritalea",1,0
"886","Nitrobacter",205,0.03
